energy,heating,price,area,rooms,fee,zipcode,construction_year,price_per_area,heating_raw,house_age,rooms_per_area,heating_clean_fußbodenheizung,heating_clean_minergie,heating_clean_missing,heating_clean_other,heating_clean_wärmepumpe,heating_clean_zentralheizung,energy_clean_gas,energy_clean_missing,energy_clean_other,energy_clean_öl,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_17,level_21,level_23,level_24,level_2023,log_price,log_area,log_fee,age_bin,rooms_per_area_bin,zipcode_freq
na,na,1398000,189.01,6,3.57,13086,1956,7396.434051108407,na,69,0.03174435215067986,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.150553917083219,5.24707670235444,1.5195132049061133,very_old,1,0.006244218316373728
na,na,630000,122.0,3,3.57,14167,1956,5163.934426229508,na,69,0.02459016393442623,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.353476685668044,4.812184355372417,1.5195132049061133,very_old,0,0.005087881591119334
na,na,499000,108.0,4,3.57,12524,1956,4620.37037037037,na,69,0.037037037037037035,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.120363378739663,4.6913478822291435,1.5195132049061133,very_old,2,0.0027752081406105457
Öl,Zentralheizung,349000,86.0,3,3.57,13583,1966,4058.139534883721,Zentralheizung,59,0.03488372093023256,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.762830066509972,4.465908118654584,1.5195132049061133,very_old,2,0.0032377428307123032
na,na,335000,82.0,3,3.57,12489,1956,4085.3658536585367,na,69,0.036585365853658534,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.721888795877375,4.418840607796598,1.5195132049061133,very_old,2,0.008094357076780759
Gas,Zentralheizung,298000,58.49,2,3.57,12053,1956,5094.888015045307,Zentralheizung,69,0.034193879295606085,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.604852121186608,4.085808231199814,1.5195132049061133,very_old,2,0.0030064754856614245
na,na,189435,21.9,1,3.57,13088,2024,8650.0,na,1,0.04566210045662101,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.15180651558999,3.131136910560194,1.5195132049061133,new,3,0.0469472710453284
na,na,196470,22.2,2,3.57,13088,2024,8850.0,na,1,0.0900900900900901,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.188270116702855,3.1441522786722644,1.5195132049061133,new,3,0.0469472710453284
na,na,238000,35.0,1,3.57,10559,1956,6800.0,na,69,0.02857142857142857,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.380030154325457,3.58351893845611,1.5195132049061133,very_old,0,0.004856614246068455
na,na,695000,94.0,4,3.57,14169,2001,7393.617021276596,na,24,0.0425531914893617,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.451668563394815,4.553876891600541,1.5195132049061133,recent,3,0.0027752081406105457
Fernwärme,"Fußbodenheizung, ",260000,31.5,3,3.57,13088,2024,8253.968253968254,"Fußbodenheizung, ",1,0.09523809523809523,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.468440756144114,3.481240089335692,1.5195132049061133,new,3,0.0469472710453284
na,na,330000,88.0,3,3.57,14193,1900,3750.0,na,125,0.03409090909090909,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.706850963741102,4.48863636973214,1.5195132049061133,,2,0.015957446808510637
na,na,225000,41.0,1,3.57,13357,1956,5487.804878048781,na,69,0.024390243902439025,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.323860125621126,3.7376696182833684,1.5195132049061133,very_old,0,0.005087881591119334
na,na,999900,152.0,5,3.57,10247,1918,6578.289473684211,na,107,0.03289473684210526,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.81541155306345,5.030437921392435,1.5195132049061133,,1,0.027752081406105456
na,na,1001000,83.83,3,3.57,10719,1956,11940.832637480617,na,69,0.035786711201240606,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.816511057297857,4.440649253819643,1.5195132049061133,very_old,2,0.004856614246068455
na,na,750000,85.68,3,4.76,10435,1904,8753.501400560224,na,121,0.0350140056022409,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.527829818844937,4.462223176668158,1.7509374747078,,2,0.006244218316373728
Gas,Etagenheizung,679970,100.19,3,3.57,12349,1983,6786.805070366304,Etagenheizung,42,0.02994310809462022,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.429805429184054,4.616999937741668,1.5195132049061133,old,1,0.0030064754856614245
na,na,299000,45.0,2,3.57,12459,2010,6644.444444444444,na,15,0.044444444444444446,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.608202196848836,3.828641396489095,1.5195132049061133,recent,3,0.0027752081406105457
Öl,Zentralheizung,342000,62.0,2,3.57,12207,1970,5516.129032258064,Zentralheizung,55,0.03225806451612903,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.742568940017076,4.143134726391533,1.5195132049061133,very_old,1,0.008556891766882516
na,na,439000,97.0,4,3.57,12685,1956,4525.773195876289,na,69,0.041237113402061855,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.992256969959042,4.584967478670572,1.5195132049061133,very_old,3,0.0013876040703052729
na,na,419000,86.0,3,3.57,13439,1956,4872.093023255814,na,69,0.03488372093023256,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.945628585536271,4.465908118654584,1.5195132049061133,very_old,2,0.00046253469010175765
na,na,885000,132.0,3,3.57,14055,2003,6704.545454545455,na,22,0.022727272727272728,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.69334405393293,4.890349128221754,1.5195132049061133,recent,0,0.0043940795559666975
Gas,"Kamin, ",1580000,331.0,7,3.57,10555,1910,4773.413897280967,"Kamin, ",115,0.021148036253776436,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.272936037914342,5.805134968916488,1.5195132049061133,,0,0.00786308973172988
na,na,1390000,118.0,4,3.57,10405,1956,11779.661016949152,na,69,0.03389830508474576,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.144815024531075,4.77912349311153,1.5195132049061133,very_old,2,0.009019426456984274
na,na,465000,66.0,3,3.57,10625,1956,7045.454545454545,na,69,0.045454545454545456,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.049794835104816,4.204692619390966,1.5195132049061133,very_old,3,0.00393154486586494
